Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
Ponderea cheltuielilor directe si indirecte ale costului fortei de munca pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1,FOM112A
Ponderea cheltuielilor directe si indirecte ale costului fortei de munca pe activitati ale industriei la nivel de diviziune CAEN Rev.1,FOM112B
Ponderea cheltuielilor directe si indirecte ale costului fortei de munca pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2,FOM112C
"Costul mediu orar al fortei de munca pe salariat, pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2",FOM113A
Rata bruta de activitate,FOM114A
"Rata de activitate a resurselor de munca pe macroregiuni, regiuni de dezvoltare si judete",FOM115A
"Rata de ocupare a resurselor de munca pe sexe, macroregiuni, regiuni de dezvoltare si judete",FOM116A
"Salariul mediu brut de baza in luna octombrie al salariatilor care au lucrat intreaga luna, cu program complet, pe categorii de salariati, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1",FOM117A
"Salariul mediu brut de baza in luna octombrie al salariatilor care au lucrat intreaga luna, cu program complet, pe categorii de salariati, pe ramuri ale industriei la nivel de diviziune CAEN Rev.1",FOM117B
"Salariul mediu brut de baza in luna octombrie al salariatilor care au lucrat intreaga luna, cu program complet, pe categorii de salariati, pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2",FOM117C
"Salariul mediu brut realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe categorii de salariati, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1",FOM118A
"Salariul mediu brut realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe categorii de salariati, pe ramuri ale industriei la nivel de diviziune CAEN Rev.1",FOM118B
"Salariul mediu brut realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe categorii de salariati, pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2",FOM118C
"Salariul mediu brut realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, pe grupe majore de ocupatii (ISCO-88) si pe sexe",FOM118D
"Salariul mediu brut realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe ramuri ale industriei la nivel de diviziune CAEN Rev.1, pe grupe majore de ocupatii (ISCO-88) si pe sexe",FOM118E
"Salariul mediu brut realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2, pe grupe majore de ocupatii (ISCO-88) si pe sexe",FOM118F
"Numarul mediu al salariatilor si salariul mediu brut realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2, pe grupe majore de ocupatii (ISCO-08) si pe sexe",FOM118G
"Castigul salarial mediu brut  lunar realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, pe grupe majore de ocupatii (ISCO-88) si pe sexe",FOM119A
"Castigul salarial mediu brut lunar realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe ramuri ale industriei la nivel de diviziune CAEN Rev.1, pe grupe majore de ocupatii (ISCO-88) si pe sexe",FOM119B
"Castigul salarial mediu brut  lunar realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2, pe grupe majore de ocupatii (ISCO-88) si pe sexe",FOM119C
"Castigul salarial mediu brut  lunar realizat in luna octombrie de salariatii care au lucrat intreaga luna, cu program complet, pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2, pe grupe majore de ocupatii (ISCO-08) si pe sexe",FOM119D
Indicatori structurali din statisticile castigurilor salariale si costului fortei de munca,FOM120A
"Numarul salariatilor cu program complet de lucru care au fost platiti intreaga luna, salariul brut de baza si venitul brut realizat in luna octombrie, pe forme de proprietate, pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2, pe grupe majore de ocupatii (ISCO-08) si pe sexe",FOM121A
"Numarul salariatilor cu program complet de lucru care au fost platiti intreaga luna, salariul brut de baza si venitul brut realizat in octombrie, pe grupe de varsta, pe grupe majore de ocupatii (ISCO-08) si pe sexe",FOM121B
"Intreprinderi care au oferit formare profesionala continua, pe activitati ale economiei nationale si activitati ale industriei, pe categorii de unitati",FPC101A
"Intreprinderi care au oferit formare profesionala continua, pe clase de marime si categorii de unitati",FPC101B
"Intreprinderi care au oferit formare profesionala continua, pe forma de proprietate si categorii de unitati",FPC101C
"Participanti la cursurile de formare profesionala continua, pe sexe si activitati ale economiei nationale",FPC102A
"Participanti la cursurile de formare profesionala continua, pe sexe si clase de marime ale intreprinderilor",FPC102B
"Participanti la cursurile de formare profesionala continua, pe sexe si forma de proprietate",FPC102C
"Durata medie a cursurilor de formare profesionala continua, pe sexe si activitati ale economiei nationale",FPC103A
"Durata medie a cursurilor de formare profesionala continua, pe sexe si clase de marime a intreprinderilor",FPC103B
Durata medie a cursurilor de formare profesionala continua pe sexe si forme de proprietate a intreprinderilor,FPC103C
Costul formarii profesionale continue pe elemente de cost si activitati ale economiei nationale,FPC104A
Costul formarii profesionale continue pe elemente de cost si clase de marime ale intreprinderilor,FPC104B
Costul formarii profesionale continue pe elemente de cost si forme de proprietate,FPC104C
Costul cursurilor formarii profesionale continue pe elemente de cost si activitati ale economiei nationale,FPC104D
Costul cursurilor formarii profesionale continue pe elemente de cost si clase de marime ale intreprinderilor,FPC104E
Costul cursurilor formarii profesionale continue pe elemente de cost si forme de proprietate ale intreprinderilor,FPC104F
"Rata globala de participare pentru angajatii din toate intreprinderile la cursuri de formare profesionala continua, pe activitati ale economiei nationale si sexe",FPC105A
"Rata globala de participare pentru angajatii din toate intreprinderile la cursuri de formare profesionala continua, pe clase de marime ale intreprinderilor si sexe",FPC105B
"Rata globala de participare pentru angajatii din toate intreprinderile la cursuri de formare profesionala continua, pe forme de proprietate a intreprinderilor si sexe",FPC105C
"Rata de participare pentru angajatii din intreprinderile care au oferit cursuri de formare profesionala continua, pe activitati ale economiei nationale si sexe",FPC105D
"Rata de participare pentru angajatii din intreprinderile care au oferit cursuri de formare profesionala continua, pe clase de marime ale intreprinderilor si sexe",FPC105E
"Rata de participare pentru angajatii din intreprinderile care au oferit cursuri de formare profesionala continua, pe forme de proprietate ale intreprinderilor si sexe",FPC105F
"Rata de participare pentru angajatii din intreprinderile care au oferit cursuri de formare profesionala continua, pe activitati ale economiei nationale si grupe de varsta",FPC105G
"Rata de participare pentru angajatii din intreprinderile care au oferit cursuri de formare profesionala continua, pe clase de marime ale intreprinderilor si grupe de varsta",FPC105H
"Rata de participare pentru angajatii din intreprinderile care au oferit cursuri de formare profesionala continua, pe forme de proprietate ale intreprinderilor si grupe de varsta",FPC105I
Repartizarea timpului de pregatire la cursuri de formare profesionala continua pe activitati ale economiei nationale si domenii de pregatire,FPC106A
Repartizarea timpului de pregatire la cursuri de formare profesionala continua pe clase de marime ale intreprinderilor si domenii de pregatire,FPC106B
Repartizarea timpului de pregatire la cursuri de formare profesionala continua pe forme de proprietate ale intreprinderilor si domenii de pregatire,FPC106C
"Intreprinderi care au oferit formare profesionala initiala, si ponderea acestora in total intreprinderi, pe activitati ale economiei nationale si activitati ale industriei",FPC107A
"Intreprinderi care au oferit formare profesionala initiala, si ponderea acestora in total intreprinderi, pe clase de marime si categorii de unitati",FPC107B
"Intreprinderi care au oferit formare profesionala initiala, si ponderea acestora in total intreprinderi, pe forma de proprietate si categorii de unitati",FPC107C
"Suprafata intravilana a municipiilor si oraselor, pe judete si localitati",GOS102A
"Suprafata intravilana a municipiilor si oraselor, pe macroregiuni, regiuni de dezvoltare si judete",GOS102B
Suprafata spatiilor verzi pe judete si localitati (municipii si orase),GOS103A
"Suprafata spatiilor verzi in municipii si orase, pe macroregiuni, regiuni de dezvoltare si judete",GOS103B
Lungimea strazilor orasenesti pe judete si localitati ,GOS104A
"Lungimea strazilor orasenesti pe macroregiuni, regiuni de dezvoltare si judete",GOS104B
"Lungimea strazilor orasenesti modernizate, pe judete si localitati",GOS105A
"Lungimea strazilor orasenesti modernizate, pe macroregiuni, regiuni de dezvoltare si judete",GOS105B
"Lungimea totala a retelei simple de distributie a apei potabile pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",GOS106A
"Lungimea totala  a retelei  simple de distributie a apei potabile, pe judete si localitati",GOS106B
"Numarul localitatilor cu retea de distributie a apei, pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",GOS106C
Capacitatea instalatiilor de producere a apei potabile pe judete si localitati,GOS107A
"Capacitatea instalatiilor de producere a apei potabile pe macroregiuni, regiuni de dezvoltare si judete",GOS107B
"Capacitatea instalatiilor de producere a apei potabile pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",GOS107C
"Cantitatea de apa potabila distribuita consumatorilor, pe judete si localitati",GOS108A
"Cantitatea de apa potabila distribuita consumatorilor, pe macroregiuni, regiuni de dezvoltare si judete",GOS108B
"Cantitatea de apa potabila distribuita consumatorilor pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",GOS108C
Energia termica distribuita pe judete si localitati,GOS109A
"Energia termica distribuita pe macroregiuni, regiuni de dezvoltare si judete",GOS109B
"Numarul localitatilor in care se distibuie energia termica pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",GOS109C
"Energia termica distribuita pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",GOS109D
"Lungimea totala simpla a conductelor de canalizare, pe judete si localitati",GOS110A
"Lungimea totala simpla a conductelor de canalizare, pe macroregiuni, regiuni de dezvoltare si judete",GOS110B
"Numarul localitatilor cu canalizare publica, pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",GOS110C
"Lungimea totala simpla a conductelor de canalizare pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",GOS110D
"Debitul statiilor in functiune pentru epurarea apei reziduale, pe judete si localitati",GOS111A
"Debitul statiilor in functiune pentru epurarea apei reziduale, pe macroregiuni, regiuni de dezvoltare si judete",GOS111B
"Cantitatea de deseuri solide urbane depozitate, pe macroregiuni, regiuni de dezvoltare si judete",GOS111C
"Vehicule in inventar pentru transport public local de pasageri, pe tipuri de vehicule, pe judete si localitati",GOS112B
"Vehicule in inventar pentru transport public local de pasageri, pe tipuri de vehicule, pe macroregiuni, regiuni de dezvoltare si judete",GOS112C
"Pasageri transportati in transportul public local, pe tipuri de vehicule, pe macroregiuni, regiuni de dezvoltare si judete",GOS114B
"Lungimea liniei simple in transportul public local la sfarsitul anului, pe tipuri de vehicule, pe macroregiuni, regiuni de dezvoltare si judete",GOS115B
"Lungimea totala a conductelor de distributie a gazelor, pe judete si localitati",GOS116A
"Lungimea totala a conductelor de distributie a gazelor, pe macroregiuni, regiuni de dezvoltare si judete",GOS116B
"Lungimea totala a conductelor de distributie a gazelor pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",GOS116C
"Numarul localitatilor in care se distribuie gaze naturale pe medii de rezidenta, macroregiuni, regiuni de dezvoltare, judete",GOS117A
"Gaze naturale distribuite, dupa destinatie, pe judete si localitati",GOS118A
"Gaze naturale distribuite, dupa destinatie, pe macroregiuni, regiuni de dezvoltare si judete",GOS118B
"Greve declansate cu respectarea procedurilor legale, pe feluri de greve",GRV101A
"Salariati din unitatile in care au avut loc greve, pe feluri de greve si categorii de persoane",GRV102A
"Padure, alte terenuri cu vegetatie forestiera si arbori din afara padurii, pe grupe de specii",IFN100A
Indicii valorici ai  cifrei de afaceri din unitatile industriale pe total (piata interna si piata externa) - an de baza 2015,IND101H
Indicii valorici ai  cifrei de afaceri din unitatile industriale pe piata interna - an de baza 2015,IND101I
Indicii valorici ai  cifrei de afaceri din unitatile industriale pe piata externa - an de baza 2015,IND101J
"Indicii valorici ai comenzilor noi din industria prelucratoare care lucreaza pe baza de comenzi, pe total (piata interna si piata externa) - an de baza 2015",IND102H
"Indicii valorici ai comenzilor noi din industria prelucratoare care lucreaza pe baza de comenzi, pe piata interna - an de baza 2015",IND102I
"Indicii valorici ai comenzilor noi din industria prelucratoare care lucreaza pe baza de comenzi, pe piata externa - an de baza 2015",IND102J
Productia industriala pe activitati la nivel de diviziune CAEN Rev.1,IND103A
"Productia industriala pe forme de proprietate, conform CAEN Rev.1",IND103B
Productia industriala pe activitati la nivel de diviziune CAEN Rev.2,IND103C
"Structura productiei industriale pe activitati, la nivel de diviziune CAEN Rev.1",IND103D
"Structura productiei industriale pe activitati, la nivel de diviziune CAEN Rev.2",IND103E
